Total protocol
Name	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Andrey Remkhe	45775988	[100.0, 91.88790560471976]	191.88790560471978	[1.1007059710630642, 1.3604876145787506]	1.2114808183327983	3.672674403974613	https://www.strava.com/athletes/45775988
Vassiliy Ganzha	2057292	[89.80891719745223, 98.73217115689381]	188.54108835434604	[0.9885321141394398, 1.4618234590877859]	1.1903507482092262	3.640706321436452	https://www.strava.com/athletes/2057292
Ivan :P	8516816	[89.52380952380952, 93.6842105263158]	183.2080200501253	[0.9853939169516955, 1.3870836130592377]	1.1566805180138369	3.52915804802477	https://www.strava.com/athletes/8516816
Iliya Korovko	16291003	[78.99159663865547, 100.0]	178.99159663865547	[0.8694652208397314, 1.4805948678722196]	1.1300602051344648	3.480120293846416	https://www.strava.com/athletes/16291003
Lev Poroshenko	52407736	[81.73913043478261, 94.68085106382979]	176.4199814986124	[0.8997074893906786, 1.401839821708804]	1.11382435950116	3.4153716706006425	https://www.strava.com/athletes/52407736
Danik Merekeyev	24057209	[87.5776397515528, 89.0]	176.5776397515528	[0.9639723100614414, 1.3177294324062756]	1.114819732027048	3.396521474494765	https://www.strava.com/athletes/24057209
Yaroslav Latonenko	20096312	[80.57142857142857, 93.82530120481928]	174.39672977624787	[0.886854525256526, 1.3891725944042062]	1.101050596378472	3.377077716039204	https://www.strava.com/athletes/20096312
Женя Яковенко	14419616	[91.55844155844156, 84.30311231393776]	175.86155387237932	[1.0077892332460523, 1.2481875543767158]	1.1102987367920243	3.3662755244147924	https://www.strava.com/athletes/14419616
Евгений Асафов	8446078	[73.05699481865285, 99.20382165605096]	172.2608164747038	[0.8041427042481454, 1.4688066921726002]	1.0875655464151204	3.360514942835866	https://www.strava.com/athletes/8446078
Vadim Yezhakov	10142020	[81.73913043478261, 91.48311306901616]	173.22224350379878	[0.8997074893906786, 1.3544942770695931]	1.0936354985588195	3.3478372650190913	https://www.strava.com/athletes/10142020
Тимур Daуранов	2356436	[69.8019801980198, 99.36204146730462]	169.1640216653244	[0.7683145639598618, 1.471149286577979]	1.0680139884466675	3.307477838984508	https://www.strava.com/athletes/2356436
Maxim Sotnikov	22629365	[74.60317460317461, 94.96951219512195]	169.57268679829656	[0.8211615974597464, 1.4061137236042573]	1.0705940883657163	3.29786940942972	https://www.strava.com/athletes/22629365
Ilyas Rahimov	52441433	[81.73913043478261, 88.74643874643874]	170.48556918122136	[0.8997074893906786, 1.313975217499135]	1.0763575547646125	3.2900402616544264	https://www.strava.com/athletes/52441433
Никита Жубрин	12267826	[75.80645161290323, 92.43323442136499]	168.23968603426823	[0.8344061393542583, 1.3685617250510278]	1.0621782121730297	3.265146076578316	https://www.strava.com/athletes/12267826
Pedro Vizuete Castro	17381952	[81.5028901734104, 87.74647887323944]	169.24936904664986	[0.8971071787276997, 1.2991698629357649]	1.0685528275936416	3.264829869257106	https://www.strava.com/athletes/17381952
Andrey Saurin	9598078	[70.85427135678393, 96.14197530864197]	166.9962466654259	[0.779897195577347, 1.4234731522907298]	1.0543277802275404	3.257698128095617	https://www.strava.com/athletes/9598078
YEVGENIY TSARYOV	11425152	[67.62589928057554, 98.11023622047244]	165.73613550104798	[0.7443623113663888, 1.4526151223376267]	1.0463720912027428	3.2433495249067583	https://www.strava.com/athletes/11425152
Rustam Almagambetov	8669263	[78.55153203342618, 89.0]	167.55153203342618	[0.8646214034534376, 1.3177294324062756]	1.057833564346207	3.24018440020592	https://www.strava.com/athletes/8669263
Alex Pugachevsky	8806267	[75.60321715817695, 90.68413391557496]	166.2873510737519	[0.8321691255758288, 1.342664632728374]	1.04985218074248	3.224685939046683	https://www.strava.com/athletes/8806267
Мади Apple City Team	13508233	[64.82758620689656, 98.73217115689381]	163.55975736379037	[0.7135611122753658, 1.4618234590877859]	1.0326315672316395	3.2080161385947914	https://www.strava.com/athletes/13508233
Александр Баталов	3178717	[66.3529411764706, 96.8895800933126]	163.2425212697832	[0.7303507855053745, 1.4345421503645301]	1.0306287028949772	3.195521638764882	https://www.strava.com/athletes/3178717
Eugene Ponomarenko	6146496	[81.03448275862068, 83.9622641509434]	164.99674690956408	[0.8919513903442071, 1.2431409739681845]	1.041703974715391	3.1767963390277822	https://www.strava.com/athletes/6146496
Ilya Kazantsev	30322933	[80.57142857142857, 84.07557354925775]	164.64700212068632	[0.886854525256526, 1.2448186271044437]	1.0394958673221606	3.1711690196831306	https://www.strava.com/athletes/30322933
Nurlan Dalbaev	15606185	[63.228699551569505, 98.11023622047244]	161.33893577204196	[0.6959620713896505, 1.4526151223376267]	1.018610450315158	3.1671876440424356	https://www.strava.com/athletes/15606185
Ануар Джусупов	24709779	[83.1858407079646, 81.54450261780104]	164.73034332576566	[0.9156315157515755, 1.2073437207910902]	1.040022040511722	3.1629972770543877	https://www.strava.com/athletes/24709779
Sanzhar Shakenov	30735873	[75.60321715817695, 85.93103448275862]	161.53425164093557	[0.8321691255758288, 1.2722904864612317]	1.0198435735176596	3.1243031855547203	https://www.strava.com/athletes/30735873
Alexandr Kononov	29848669	[81.5028901734104, 81.01430429128739]	162.5171944646978	[0.8971071787276997, 1.1994936315791844]	1.0260493652414948	3.122650175548379	https://www.strava.com/athletes/29848669
Артур Мизаев	20450396	[59.74576271186441, 98.42022116903634]	158.16598388090074	[0.6576251776266613, 1.45720474357724]	0.998578075989656	3.113407997193557	https://www.strava.com/athletes/20450396
Юрий Береснев	26299199	[79.43661971830986, 81.54450261780104]	160.9811223361109	[0.8743636164500961, 1.2073437207910902]	1.0163514016648216	3.098058738906008	https://www.strava.com/athletes/26299199
Rashit Nurzhanov	2224619	[63.6568848758465, 94.10876132930514]	157.76564620515165	[0.7006751328211831, 1.393369490459808]	0.9960505513210349	3.090095174602026	https://www.strava.com/athletes/2224619
Max Kravitz	14175054	[82.94117647058823, 78.26633165829146]	161.20750812887968	[0.9129384818817179, 1.1588072898045139]	1.0177806842692574	3.089526455955489	https://www.strava.com/athletes/14175054
Максим Карболин	33464045	[87.5776397515528, 74.3436754176611]	161.9213151692139	[0.9639723100614414, 1.1007286428214713]	1.022287292096523	3.0869882449794357	https://www.strava.com/athletes/33464045
Ashley Clarke	7284547	[86.50306748466258, 73.55371900826447]	160.05678649292705	[0.9521444289563931, 1.089032588765517]	1.0105156240519195	3.0516926417738297	https://www.strava.com/athletes/7284547
Nurzhan Tlegenov	1700080	[74.80106100795756, 81.97368421052632]	156.77474521848387	[0.8233397449331143, 1.2136981614268327]	0.9897945158797605	3.0268324222397074	https://www.strava.com/athletes/1700080
Alexey Kuimov	6253353	[72.1227621483376, 84.07557354925775]	156.19833569759535	[0.7938595494623635, 1.2448186271044437]	0.9861553648042397	3.024833541371047	https://www.strava.com/athletes/6253353
Arman Arynov	5121882	[71.7557251908397, 83.73655913978494]	155.49228433062464	[0.7898195517551758, 1.2397991971564422]	0.9816977222803556	3.0113164711919738	https://www.strava.com/athletes/5121882
Denis Vassilyev	5136907	[62.94642857142857, 86.28808864265928]	149.23451721408784	[0.6928550978566609, 1.2775770120282448]	0.9421894228730187	2.9126215327579246	https://www.strava.com/athletes/5136907
Alexandr Z.	2955562	[65.4292343387471, 83.51206434316354]	148.94129868191064	[0.720183489187434, 1.2364753387190255]	0.9403381929781854	2.896997020884645	https://www.strava.com/athletes/2955562
Daur Zhumash	14517396	[64.38356164383562, 82.73572377158034]	147.11928541541596	[0.7086737073967674, 1.2249808800589546]	0.9288349452036582	2.86248953265938	https://www.strava.com/athletes/14517396
Роман Картун	17571300	[62.94642857142857, 82.84574468085107]	145.79217325227964	[0.6928550978566609, 1.2266098439952033]	0.9204562465861031	2.8399211884379674	https://www.strava.com/athletes/17571300
Vadim Khaibullin	15568045	[55.73122529644269, 86.52777777777777]	142.25900307422046	[0.6134369245845536, 1.2811258370616567]	0.8981496406270932	2.7927124022733034	https://www.strava.com/athletes/15568045
Danil Povarov	38787512	[66.66666666666667, 76.44171779141104]	143.1083844580777	[0.7338039807087094, 1.1317921505329973]	0.9035121946179201	2.769108325859627	https://www.strava.com/athletes/38787512
Владимир Максаков	15843024	[69.62962962962963, 72.86549707602339]	142.49512670565304	[0.76641749096243, 1.0788428101571845]	0.8996404028996511	2.7449007040192654	https://www.strava.com/athletes/15843024
Dauren Muratov	14180498	[54.75728155339806, 84.1891891891892]	138.94647074258725	[0.6027166676500663, 1.246500814438369]	0.8772360277173374	2.726453509805773	https://www.strava.com/athletes/14180498
Muslim Seitzhanov	20644596	[69.45812807881774, 70.47511312217195]	139.9332412009897	[0.7645297631521776, 1.043450908014019]	0.8834659851431829	2.6914466563093793	https://www.strava.com/athletes/20644596
Murat Karabay	8472413	[67.95180722891567, 71.60919540229885]	139.56100263121454	[0.7479495996139377, 1.0602420720510264]	0.8811158636714566	2.6893075353364204	https://www.strava.com/athletes/8472413
Александр Афанасьев	23025639	[61.8421052631579, 74.70023980815348]	136.5423450713114	[0.6806997452626845, 1.1060079168877612]	0.8620576238130712	2.648765285963517	https://www.strava.com/athletes/23025639
Rustam Kaipov	24946525	[66.50943396226415, 70.71509648127129]	137.22453044353546	[0.7320733109428871, 1.0470040893125911]	0.8663645888111631	2.645441989066641	https://www.strava.com/athletes/24946525
Vyacheslav Kachanov	90786123	[65.1270207852194, 71.0376282782212]	136.1646490634406	[0.7168570065583929, 1.051779478545488]	0.8596730469047229	2.628309532008604	https://www.strava.com/athletes/90786123
Almaz Salimbayev	26155626	[72.1227621483376, 64.89583333333333]	137.01859548167093	[0.7938595494623635, 0.9608443777962425]	0.8650644221574245	2.6197683494160304	https://www.strava.com/athletes/26155626
Dmitry Shirokov	2958733	[58.144329896907216, 75.60679611650485]	133.75112601341206	[0.6399981110098641, 1.1194303430635837]	0.8444353128198201	2.603863766893268	https://www.strava.com/athletes/2958733
Артём Трофимов	15599059	[63.6568848758465, 70.87599544937429]	134.5328803252208	[0.7006751328211831, 1.0493863511767836]	0.8493709045155061	2.5994323885134727	https://www.strava.com/athletes/15599059
